Date Saved,12/05/2026 15:45,,,
Title,AS7341-cal_010_02°_Over,,,
CoolLED_nm,460,,,
CoolLED_strength,20,,,
,,,,
Measuring Mode,Ambient,,,
Viewing Angle [°],2,,,
Tcp [K],Over,,,
⊿uv,Over,,,
Illuminance [lx],236,,,
Illuminance [fc],21.9,,,
Peak Wavelength [nm],454,,,
Tristimulus Value X,1099.9027,,,
Tristimulus Value Y,235.6154,,,
Tristimulus Value Z,6150.8504,,,
CIE1931 x,0.1469,,,
CIE1931 y,0.0315,,,
CIE1931 z,0.8216,,,
CIE1976 u',0.1906,,,
CIE1976 v',0.0919,,,
Dominant Wavelength [nm],459,,,
Purity [%],99,,,
PPFD [umolm⁻²s⁻¹],21.7,,,
CRI Ra,Over,,,
CRI R1,Over,,,
CRI R2,Over,,,
CRI R3,Over,,,
CRI R4,Over,,,
CRI R5,Over,,,
CRI R6,Over,,,
CRI R7,Over,,,
CRI R8,Over,,,
CRI R9,Over,,,
CRI R10,Over,,,
CRI R11,Over,,,
CRI R12,Over,,,
CRI R13,Over,,,
CRI R14,Over,,,
CRI R15,Over,,,
TM-30 Rf,Over,,,
TM-30 Rg,Over,,,
SSIt,Under,,,
SSId,Under,,,
SSI1,---,,,
SSI2,---,,,
TLCI,Over,,,
TLMF,---,,,
,,,,
Spectral Data 380[nm],0,,,
Spectral Data 385[nm],0,,,
Spectral Data 390[nm],0,,,
Spectral Data 395[nm],0,,,
Spectral Data 400[nm],0,,,
Spectral Data 405[nm],0,,,
Spectral Data 410[nm],0,,,
Spectral Data 415[nm],0,,,
Spectral Data 420[nm],0,,,
Spectral Data 425[nm],0.000142923,,,
Spectral Data 430[nm],0.003174063,,,
Spectral Data 435[nm],0.017988931,,,
Spectral Data 440[nm],0.059415806,,,
Spectral Data 445[nm],0.130793795,,,
Spectral Data 450[nm],0.201093525,,,
Spectral Data 455[nm],0.220456734,,,
Spectral Data 460[nm],0.182203814,,,
Spectral Data 465[nm],0.127213612,,,
Spectral Data 470[nm],0.079676315,,,
Spectral Data 475[nm],0.047097508,,,
Spectral Data 480[nm],0.027495038,,,
Spectral Data 485[nm],0.015634231,,,
Spectral Data 490[nm],0.008961187,,,
Spectral Data 495[nm],0.00518585,,,
Spectral Data 500[nm],0.002970214,,,
Spectral Data 505[nm],0.001700789,,,
Spectral Data 510[nm],0.000960005,,,
Spectral Data 515[nm],0.000475728,,,
Spectral Data 520[nm],0.000169534,,,
Spectral Data 525[nm],3.29601E-05,,,
Spectral Data 530[nm],7.74352E-07,,,
Spectral Data 535[nm],0,,,
Spectral Data 540[nm],2.16337E-06,,,
Spectral Data 545[nm],2.36528E-05,,,
Spectral Data 550[nm],9.19674E-06,,,
Spectral Data 555[nm],0,,,
Spectral Data 560[nm],0,,,
Spectral Data 565[nm],0,,,
Spectral Data 570[nm],0,,,
Spectral Data 575[nm],0,,,
Spectral Data 580[nm],0,,,
Spectral Data 585[nm],0,,,
