Date Saved,14/05/2026 09:44,,,
Title,AS7341-cal_055_02°_5408K,,,
Direct sun,,,,
,,,,
Measuring Mode,Ambient,,,
Viewing Angle [°],2,,,
Tcp [K],5408,,,
⊿uv,0.0028,,,
Illuminance [lx],105000,,,
Illuminance [fc],9740,,,
Peak Wavelength [nm],535,,,
Tristimulus Value X,100683.6014,,,
Tristimulus Value Y,104872.3143,,,
Tristimulus Value Z,95244.4669,,,
CIE1931 x,0.3347,,,
CIE1931 y,0.3486,,,
CIE1931 z,0.3166,,,
CIE1976 u',0.2055,,,
CIE1976 v',0.4817,,,
Dominant Wavelength [nm],558,,,
Purity [%],5.1,,,
PPFD [umolm⁻²s⁻¹],1874.5,,,
CRI Ra,99.5,,,
CRI R1,99.8,,,
CRI R2,99.5,,,
CRI R3,99.1,,,
CRI R4,99.6,,,
CRI R5,99.7,,,
CRI R6,99.3,,,
CRI R7,99.4,,,
CRI R8,99.3,,,
CRI R9,98.8,,,
CRI R10,98.7,,,
CRI R11,99.5,,,
CRI R12,98.2,,,
CRI R13,99.7,,,
CRI R14,99.4,,,
CRI R15,99.8,,,
TM-30 Rf,100,,,
TM-30 Rg,100,,,
SSIt,60,,,
SSId,98,,,
SSI1,---,,,
SSI2,---,,,
TLCI,100,,,
TLMF,---,,,
,,,,
Spectral Data 380[nm],0.442126334,,,
Spectral Data 385[nm],0.488111198,,,
Spectral Data 390[nm],0.54233551,,,
Spectral Data 395[nm],0.636344314,,,
Spectral Data 400[nm],0.756373107,,,
Spectral Data 405[nm],0.860480607,,,
Spectral Data 410[nm],0.946956277,,,
Spectral Data 415[nm],1.023021817,,,
Spectral Data 420[nm],1.055779457,,,
Spectral Data 425[nm],1.040559053,,,
Spectral Data 430[nm],1.048315406,,,
Spectral Data 435[nm],1.109866142,,,
Spectral Data 440[nm],1.190550208,,,
Spectral Data 445[nm],1.269162893,,,
Spectral Data 450[nm],1.351362109,,,
Spectral Data 455[nm],1.427760005,,,
Spectral Data 460[nm],1.460683584,,,
Spectral Data 465[nm],1.450360894,,,
Spectral Data 470[nm],1.448988914,,,
Spectral Data 475[nm],1.46786201,,,
Spectral Data 480[nm],1.476450324,,,
Spectral Data 485[nm],1.476055026,,,
Spectral Data 490[nm],1.481273651,,,
Spectral Data 495[nm],1.485633969,,,
Spectral Data 500[nm],1.47926414,,,
Spectral Data 505[nm],1.469367266,,,
Spectral Data 510[nm],1.45875299,,,
Spectral Data 515[nm],1.443829179,,,
Spectral Data 520[nm],1.44458878,,,
Spectral Data 525[nm],1.464951038,,,
Spectral Data 530[nm],1.491836905,,,
Spectral Data 535[nm],1.512261152,,,
Spectral Data 540[nm],1.497339725,,,
Spectral Data 545[nm],1.472381949,,,
Spectral Data 550[nm],1.468414783,,,
Spectral Data 555[nm],1.464005351,,,
Spectral Data 560[nm],1.451370597,,,
Spectral Data 565[nm],1.439098597,,,
Spectral Data 570[nm],1.427700877,,,
Spectral Data 575[nm],1.42433691,,,
Spectral Data 580[nm],1.427962065,,,
Spectral Data 585[nm],1.420713186,,,
Spectral Data 590[nm],1.405220866,,,
Spectral Data 595[nm],1.397137403,,,
Spectral Data 600[nm],1.396494508,,,
Spectral Data 605[nm],1.394286633,,,
Spectral Data 610[nm],1.387789249,,,
Spectral Data 615[nm],1.378140926,,,
Spectral Data 620[nm],1.36656177,,,
Spectral Data 625[nm],1.353284001,,,
Spectral Data 630[nm],1.346175432,,,
Spectral Data 635[nm],1.350349903,,,
Spectral Data 640[nm],1.354490876,,,
Spectral Data 645[nm],1.347141266,,,
Spectral Data 650[nm],1.328788042,,,
Spectral Data 655[nm],1.321875811,,,
Spectral Data 660[nm],1.334926724,,,
Spectral Data 665[nm],1.350108862,,,
Spectral Data 670[nm],1.354440808,,,
Spectral Data 675[nm],1.34707129,,,
Spectral Data 680[nm],1.309004426,,,
Spectral Data 685[nm],1.250301242,,,
Spectral Data 690[nm],1.226809144,,,
Spectral Data 695[nm],1.244450212,,,
Spectral Data 700[nm],1.263526201,,,
Spectral Data 705[nm],1.271320343,,,
Spectral Data 710[nm],1.251324654,,,
Spectral Data 715[nm],1.191586733,,,
Spectral Data 720[nm],1.133645296,,,
Spectral Data 725[nm],1.125439167,,,
Spectral Data 730[nm],1.159745574,,,
Spectral Data 735[nm],1.193644404,,,
Spectral Data 740[nm],1.211751461,,,
Spectral Data 745[nm],1.21939528,,,
Spectral Data 750[nm],1.165175676,,,
Spectral Data 755[nm],1.008996487,,,
Spectral Data 760[nm],0.862254441,,,
Spectral Data 765[nm],0.87477535,,,
Spectral Data 770[nm],1.00916791,,,
Spectral Data 775[nm],1.101588368,,,
Spectral Data 780[nm],1.139456153,,,
,,,,
Spectral Data 380[nm],0.440615177,,,
Spectral Data 381[nm],0.452609956,,,
Spectral Data 382[nm],0.462312073,,,
Spectral Data 383[nm],0.470869124,,,
Spectral Data 384[nm],0.478869796,,,
Spectral Data 385[nm],0.486727268,,,
Spectral Data 386[nm],0.494854838,,,
Spectral Data 387[nm],0.503661215,,,
Spectral Data 388[nm],0.513510585,,,
Spectral Data 389[nm],0.524741411,,,
Spectral Data 390[nm],0.537691951,,,
Spectral Data 391[nm],0.55268991,,,
Spectral Data 392[nm],0.569857061,,,
Spectral Data 393[nm],0.589109659,,,
Spectral Data 394[nm],0.610353112,,,
Spectral Data 395[nm],0.633490205,,,
Spectral Data 396[nm],0.658213615,,,
Spectral Data 397[nm],0.683843136,,,
Spectral Data 398[nm],0.709658265,,,
Spectral Data 399[nm],0.734938443,,,
Spectral Data 400[nm],0.75911659,,,
Spectral Data 401[nm],0.782124281,,,
Spectral Data 402[nm],0.803993762,,,
Spectral Data 403[nm],0.824757397,,,
Spectral Data 404[nm],0.844459474,,,
Spectral Data 405[nm],0.86321193,,,
Spectral Data 406[nm],0.881153107,,,
Spectral Data 407[nm],0.898421586,,,
Spectral Data 408[nm],0.91515851,,,
Spectral Data 409[nm],0.931533515,,,
Spectral Data 410[nm],0.947736263,,,
Spectral Data 411[nm],0.963957071,,,
Spectral Data 412[nm],0.980374694,,,
Spectral Data 413[nm],0.996794999,,,
Spectral Data 414[nm],1.012575746,,,
Spectral Data 415[nm],1.02704823,,,
Spectral Data 416[nm],1.039545655,,,
Spectral Data 417[nm],1.049532056,,,
Spectral Data 418[nm],1.056735396,,,
Spectral Data 419[nm],1.060922265,,,
Spectral Data 420[nm],1.061859608,,,
Spectral Data 421[nm],1.059542894,,,
Spectral Data 422[nm],1.054870605,,,
Spectral Data 423[nm],1.048969507,,,
Spectral Data 424[nm],1.042966962,,,
Spectral Data 425[nm],1.037927985,,,
Spectral Data 426[nm],1.034445763,,,
Spectral Data 427[nm],1.032895446,,,
Spectral Data 428[nm],1.033651233,,,
Spectral Data 429[nm],1.037068367,,,
Spectral Data 430[nm],1.043227553,,,
Spectral Data 431[nm],1.051986217,,,
Spectral Data 432[nm],1.063193202,,,
Spectral Data 433[nm],1.076693892,,,
Spectral Data 434[nm],1.092120051,,,
Spectral Data 435[nm],1.108796597,,,
Spectral Data 436[nm],1.126024246,,,
Spectral Data 437[nm],1.143104315,,,
Spectral Data 438[nm],1.159555435,,,
Spectral Data 439[nm],1.175472736,,,
Spectral Data 440[nm],1.191045523,,,
Spectral Data 441[nm],1.206462741,,,
Spectral Data 442[nm],1.221895695,,,
Spectral Data 443[nm],1.23741281,,,
Spectral Data 444[nm],1.253047466,,,
Spectral Data 445[nm],1.26883316,,,
Spectral Data 446[nm],1.28480351,,,
