Date Saved,04/06/2026 15:50:57
Title,AS7341-calRE2_031_02°_1624K
CoolLED_nm,595
CoolLED_strength,25

Measuring Mode,Ambient
Viewing Angle [°],2
Tcp [K],1624
⊿uv,0.0049
Illuminance [lx],408
Illuminance [fc],37.9
Peak Wavelength [nm],595
Tristimulus Value X,573.6209
Tristimulus Value Y,408.3652
Tristimulus Value Z,2.2175
CIE1931 x,0.5828
CIE1931 y,0.4149
CIE1931 z,0.0023
CIE1976 u',0.3422
CIE1976 v',0.5481
Dominant Wavelength [nm],592
Purity [%],99.5
PPFD [umolm⁻²s⁻¹],4.2
CRI Ra,-18.8
CRI R1,-37.4
CRI R2,50.6
CRI R3,18.0
CRI R4,-71.0
CRI R5,-42.8
CRI R6,38.1
CRI R7,-5.7
CRI R8,-100.0
CRI R9,-100.0
CRI R10,26.9
CRI R11,-100.0
CRI R12,-11.1
CRI R13,-19.2
CRI R14,45.8
CRI R15,-67.6
TM-30 Rf,5
TM-30 Rg,9
SSIt,Under
SSId,Under
SSI1,---
SSI2,---
TLCI,3
TLMF,---

Spectral Data 380[nm],0.000000000000
Spectral Data 385[nm],0.000005168749
Spectral Data 390[nm],0.000007621840
Spectral Data 395[nm],0.000000000000
Spectral Data 400[nm],0.000000000000
Spectral Data 405[nm],0.000000000000
Spectral Data 410[nm],0.000000000000
Spectral Data 415[nm],0.000000000000
Spectral Data 420[nm],0.000000000000
Spectral Data 425[nm],0.000000000000
Spectral Data 430[nm],0.000000000000
Spectral Data 435[nm],0.000000000000
Spectral Data 440[nm],0.000000000000
Spectral Data 445[nm],0.000005296078
Spectral Data 450[nm],0.000031424239
Spectral Data 455[nm],0.000045453577
Spectral Data 460[nm],0.000058877751
Spectral Data 465[nm],0.000062039690
Spectral Data 470[nm],0.000044085413
Spectral Data 475[nm],0.000035953424
Spectral Data 480[nm],0.000006001529
Spectral Data 485[nm],0.000007584544
Spectral Data 490[nm],0.000027879383
Spectral Data 495[nm],0.000007642871
Spectral Data 500[nm],0.000002790693
Spectral Data 505[nm],0.000016580299
Spectral Data 510[nm],0.000009321019
Spectral Data 515[nm],0.000000000000
Spectral Data 520[nm],0.000000000000
Spectral Data 525[nm],0.000000000000
Spectral Data 530[nm],0.000000000000
Spectral Data 535[nm],0.000005803006
Spectral Data 540[nm],0.000050336927
Spectral Data 545[nm],0.000119233926
Spectral Data 550[nm],0.000214773783
Spectral Data 555[nm],0.000412635360
Spectral Data 560[nm],0.000831454818
Spectral Data 565[nm],0.001673957682
Spectral Data 570[nm],0.003278094111
Spectral Data 575[nm],0.006277939305
Spectral Data 580[nm],0.011560644023
Spectral Data 585[nm],0.020063783973
Spectral Data 590[nm],0.030859233811
Spectral Data 595[nm],0.036329627037
Spectral Data 600[nm],0.029390998185
Spectral Data 605[nm],0.015992492437
Spectral Data 610[nm],0.006371171214
Spectral Data 615[nm],0.002091838280
Spectral Data 620[nm],0.000622324413
Spectral Data 625[nm],0.000223661147
Spectral Data 630[nm],0.000159279516
Spectral Data 635[nm],0.000156150985
Spectral Data 640[nm],0.000171430875
Spectral Data 645[nm],0.000257695996
Spectral Data 650[nm],0.000419720483
Spectral Data 655[nm],0.000607620401
Spectral Data 660[nm],0.000665974512
Spectral Data 665[nm],0.000542803376
Spectral Data 670[nm],0.000343274703
Spectral Data 675[nm],0.000171645239
Spectral Data 680[nm],0.000102150589
Spectral Data 685[nm],0.000092676673
Spectral Data 690[nm],0.000060601647
Spectral Data 695[nm],0.000035487683
Spectral Data 700[nm],0.000033958993
Spectral Data 705[nm],0.000019171057
Spectral Data 710[nm],0.000025195061
Spectral Data 715[nm],0.000031899479
Spectral Data 720[nm],0.000011229011
Spectral Data 725[nm],0.000005639937
Spectral Data 730[nm],0.000026543863
Spectral Data 735[nm],0.000016211356
Spectral Data 740[nm],0.000005860008
Spectral Data 745[nm],0.000000185890
Spectral Data 750[nm],0.000000000000
Spectral Data 755[nm],0.000000000000
Spectral Data 760[nm],0.000000000000
Spectral Data 765[nm],0.000000000000
Spectral Data 770[nm],0.000000000000
Spectral Data 775[nm],0.000000000000
Spectral Data 780[nm],0.000000000000

Spectral Data 380[nm],0.000000000000
Spectral Data 381[nm],0.000000000000
Spectral Data 382[nm],0.000000000000
Spectral Data 383[nm],0.000000000000
Spectral Data 384[nm],0.000000000000
Spectral Data 385[nm],0.000000000000
Spectral Data 386[nm],0.000007824579
Spectral Data 387[nm],0.000015703348
Spectral Data 388[nm],0.000017838160
Spectral Data 389[nm],0.000014904725
Spectral Data 390[nm],0.000007581879
Spectral Data 391[nm],0.000000000000
Spectral Data 392[nm],0.000000000000
Spectral Data 393[nm],0.000000000000
