Date Saved,14/05/2026 09:44,,,
Title,AS7341-cal_040_02°_Over,,,
CoolLED_nm,470,,,
CoolLED_strength,80,,,
,,,,
Measuring Mode,Ambient,,,
Viewing Angle [°],2,,,
Tcp [K],Over,,,
⊿uv,Over,,,
Illuminance [lx],383,,,
Illuminance [fc],35.6,,,
Peak Wavelength [nm],466,,,
Tristimulus Value X,791.099,,,
Tristimulus Value Y,383.2241,,,
Tristimulus Value Z,4890.3162,,,
CIE1931 x,0.1304,,,
CIE1931 y,0.0632,,,
CIE1931 z,0.8064,,,
CIE1976 u',0.1492,,,
CIE1976 v',0.1626,,,
Dominant Wavelength [nm],470,,,
Purity [%],97.5,,,
PPFD [umolm⁻²s⁻¹],21.7,,,
CRI Ra,Over,,,
CRI R1,Over,,,
CRI R2,Over,,,
CRI R3,Over,,,
CRI R4,Over,,,
CRI R5,Over,,,
CRI R6,Over,,,
CRI R7,Over,,,
CRI R8,Over,,,
CRI R9,Over,,,
CRI R10,Over,,,
CRI R11,Over,,,
CRI R12,Over,,,
CRI R13,Over,,,
CRI R14,Over,,,
CRI R15,Over,,,
TM-30 Rf,Over,,,
TM-30 Rg,Over,,,
SSIt,Under,,,
SSId,Under,,,
SSI1,---,,,
SSI2,---,,,
TLCI,Over,,,
TLMF,---,,,
,,,,
Spectral Data 380[nm],0,,,
Spectral Data 385[nm],0,,,
Spectral Data 390[nm],0,,,
Spectral Data 395[nm],0,,,
Spectral Data 400[nm],0,,,
Spectral Data 405[nm],0,,,
Spectral Data 410[nm],0,,,
Spectral Data 415[nm],0,,,
Spectral Data 420[nm],0,,,
Spectral Data 425[nm],0,,,
Spectral Data 430[nm],0.000259405,,,
Spectral Data 435[nm],0.002985725,,,
Spectral Data 440[nm],0.012680054,,,
Spectral Data 445[nm],0.035548002,,,
Spectral Data 450[nm],0.073409729,,,
Spectral Data 455[nm],0.117015295,,,
Spectral Data 460[nm],0.153123438,,,
Spectral Data 465[nm],0.170371532,,,
Spectral Data 470[nm],0.16119884,,,
Spectral Data 475[nm],0.130499735,,,
Spectral Data 480[nm],0.093613945,,,
Spectral Data 485[nm],0.061502762,,,
Spectral Data 490[nm],0.038939204,,,
