Date Saved,14/05/2026 09:58,,,
Title,AS7341-cal_062_02°_3477K,,,
mixed office light,,,,
Measuring Mode,Ambient,,,
Viewing Angle [°],2,,,
Tcp [K],3477,,,
⊿uv,-0.0035,,,
Illuminance [lx],1250,,,
Illuminance [fc],116,,,
Peak Wavelength [nm],606,,,
Tristimulus Value X,1318.027,,,
Tristimulus Value Y,1248.7129,,,
Tristimulus Value Z,703.906,,,
CIE1931 x,0.403,,,
CIE1931 y,0.3818,,,
CIE1931 z,0.2152,,,
CIE1976 u',0.2379,,,
CIE1976 v',0.5071,,,
Dominant Wavelength [nm],583,,,
Purity [%],35.5,,,
PPFD [umolm⁻²s⁻¹],21.3,,,
CRI Ra,92.4,,,
CRI R1,92.4,,,
CRI R2,97.2,,,
CRI R3,97.1,,,
CRI R4,90.9,,,
CRI R5,92.7,,,
CRI R6,95.4,,,
CRI R7,91.5,,,
CRI R8,82.2,,,
CRI R9,60.4,,,
CRI R10,92.9,,,
CRI R11,90.1,,,
CRI R12,87.9,,,
CRI R13,93.9,,,
CRI R14,98.9,,,
CRI R15,90.2,,,
TM-30 Rf,93,,,
TM-30 Rg,99,,,
SSIt,84,,,
SSId,70,,,
SSI1,---,,,
SSI2,---,,,
TLCI,94,,,
TLMF,---,,,
,,,,
Spectral Data 380[nm],0.001435085,,,
Spectral Data 385[nm],0.001641903,,,
Spectral Data 390[nm],0.001909621,,,
Spectral Data 395[nm],0.002439905,,,
Spectral Data 400[nm],0.003154273,,,
Spectral Data 405[nm],0.003823402,,,
Spectral Data 410[nm],0.004319385,,,
Spectral Data 415[nm],0.004639273,,,
Spectral Data 420[nm],0.00481378,,,
Spectral Data 425[nm],0.005011342,,,
Spectral Data 430[nm],0.005485609,,,
Spectral Data 435[nm],0.006484769,,,
Spectral Data 440[nm],0.008223855,,,
Spectral Data 445[nm],0.010632374,,,
Spectral Data 450[nm],0.012758955,,,
Spectral Data 455[nm],0.013390997,,,
Spectral Data 460[nm],0.012643358,,,
Spectral Data 465[nm],0.011506362,,,
Spectral Data 470[nm],0.010510665,,,
Spectral Data 475[nm],0.009836324,,,
Spectral Data 480[nm],0.009548244,,,
Spectral Data 485[nm],0.009542405,,,
Spectral Data 490[nm],0.009847103,,,
Spectral Data 495[nm],0.010342681,,,
Spectral Data 500[nm],0.010903401,,,
Spectral Data 505[nm],0.011501273,,,
Spectral Data 510[nm],0.012031252,,,
Spectral Data 515[nm],0.01243598,,,
Spectral Data 520[nm],0.01289565,,,
Spectral Data 525[nm],0.013519573,,,
Spectral Data 530[nm],0.014172528,,,
Spectral Data 535[nm],0.014795343,,,
Spectral Data 540[nm],0.015395615,,,
Spectral Data 545[nm],0.015934534,,,
Spectral Data 550[nm],0.01642441,,,
Spectral Data 555[nm],0.016943464,,,
Spectral Data 560[nm],0.017503431,,,
Spectral Data 565[nm],0.018110879,,,
Spectral Data 570[nm],0.018757645,,,
Spectral Data 575[nm],0.019485559,,,
Spectral Data 580[nm],0.02026828,,,
Spectral Data 585[nm],0.020928081,,,
Spectral Data 590[nm],0.021382302,,,
Spectral Data 595[nm],0.021762244,,,
Spectral Data 600[nm],0.022077275,,,
Spectral Data 605[nm],0.022219777,,,
Spectral Data 610[nm],0.022144089,,,
Spectral Data 615[nm],0.021800041,,,
Spectral Data 620[nm],0.02123558,,,
Spectral Data 625[nm],0.020578455,,,
Spectral Data 630[nm],0.019936932,,,
