Date Saved,04/06/2026 15:51:05
Title,AS7341-calRE2_039_02°_Under
CoolLED_nm,660
CoolLED_strength,100

Measuring Mode,Ambient
Viewing Angle [°],2
Tcp [K],Under
⊿uv,Under
Illuminance [lx],1130
Illuminance [fc],105
Peak Wavelength [nm],663
Tristimulus Value X,2915.6045
Tristimulus Value Y,1131.9802
Tristimulus Value Z,40.5106
CIE1931 x,0.7132
CIE1931 y,0.2769
CIE1931 z,0.0099
CIE1976 u',0.5826
CIE1976 v',0.5090
Dominant Wavelength [nm],648
Purity [%],97.0
PPFD [umolm⁻²s⁻¹],118.8
CRI Ra,Under
CRI R1,Under
CRI R2,Under
CRI R3,Under
CRI R4,Under
CRI R5,Under
CRI R6,Under
CRI R7,Under
CRI R8,Under
CRI R9,Under
CRI R10,Under
CRI R11,Under
CRI R12,Under
CRI R13,Under
CRI R14,Under
CRI R15,Under
TM-30 Rf,Under
TM-30 Rg,Under
SSIt,Under
SSId,Under
SSI1,---
SSI2,---
TLCI,Under
TLMF,---

Spectral Data 380[nm],0.002230965765
Spectral Data 385[nm],0.001879659598
Spectral Data 390[nm],0.001402494963
Spectral Data 395[nm],0.001577773364
Spectral Data 400[nm],0.002224526135
Spectral Data 405[nm],0.002304696245
Spectral Data 410[nm],0.001923864824
Spectral Data 415[nm],0.001580143115
Spectral Data 420[nm],0.001480424311
Spectral Data 425[nm],0.001474031247
Spectral Data 430[nm],0.001358184265
Spectral Data 435[nm],0.001284983009
Spectral Data 440[nm],0.001181321451
Spectral Data 445[nm],0.000721735414
Spectral Data 450[nm],0.000088046909
Spectral Data 455[nm],0.000013730796
Spectral Data 460[nm],0.000014350177
Spectral Data 465[nm],0.000000000000
Spectral Data 470[nm],0.000000000000
Spectral Data 475[nm],0.000000000000
Spectral Data 480[nm],0.000000000000
Spectral Data 485[nm],0.000000000000
Spectral Data 490[nm],0.000000000000
Spectral Data 495[nm],0.000000000000
Spectral Data 500[nm],0.000064428794
Spectral Data 505[nm],0.000443163415
Spectral Data 510[nm],0.000611668220
Spectral Data 515[nm],0.000466856611
Spectral Data 520[nm],0.000284902984
Spectral Data 525[nm],0.000056817837
Spectral Data 530[nm],0.000103272258
Spectral Data 535[nm],0.000143345824
Spectral Data 540[nm],0.000391703710
Spectral Data 545[nm],0.000239189161
Spectral Data 550[nm],0.000370196998
Spectral Data 555[nm],0.000292261102
Spectral Data 560[nm],0.000118079792
Spectral Data 565[nm],0.000301362743
Spectral Data 570[nm],0.000535276660
Spectral Data 575[nm],0.000561642577
Spectral Data 580[nm],0.000717444462
Spectral Data 585[nm],0.000486163597
Spectral Data 590[nm],0.000385416002
Spectral Data 595[nm],0.000483536976
Spectral Data 600[nm],0.000860925706
Spectral Data 605[nm],0.002159553347
Spectral Data 610[nm],0.005409616977
Spectral Data 615[nm],0.011560128070
Spectral Data 620[nm],0.021549679339
Spectral Data 625[nm],0.036892753094
Spectral Data 630[nm],0.061918329448
Spectral Data 635[nm],0.102297924459
Spectral Data 640[nm],0.164638593793
Spectral Data 645[nm],0.258445739746
Spectral Data 650[nm],0.393899381161
Spectral Data 655[nm],0.564162015915
Spectral Data 660[nm],0.703356146812
Spectral Data 665[nm],0.705300986767
Spectral Data 670[nm],0.545395135880
Spectral Data 675[nm],0.341312587261
Spectral Data 680[nm],0.192323103547
Spectral Data 685[nm],0.100691199303
Spectral Data 690[nm],0.048761460930
Spectral Data 695[nm],0.022277159616
Spectral Data 700[nm],0.010649579577
Spectral Data 705[nm],0.005434146617
Spectral Data 710[nm],0.002370497445
Spectral Data 715[nm],0.000492692227
Spectral Data 720[nm],0.000006123027
Spectral Data 725[nm],0.000204369790
Spectral Data 730[nm],0.000587872113
Spectral Data 735[nm],0.000718080380
Spectral Data 740[nm],0.000349663373
Spectral Data 745[nm],0.000146846840
Spectral Data 750[nm],0.000211729566
Spectral Data 755[nm],0.000562846311
Spectral Data 760[nm],0.000139706870
Spectral Data 765[nm],0.000413986330
Spectral Data 770[nm],0.000361212384
Spectral Data 775[nm],0.000202521522
Spectral Data 780[nm],0.000719488540

Spectral Data 380[nm],0.002513002604
Spectral Data 381[nm],0.002339805942
Spectral Data 382[nm],0.002159249038
Spectral Data 383[nm],0.002032937249
Spectral Data 384[nm],0.001951149432
Spectral Data 385[nm],0.001886332524
Spectral Data 386[nm],0.001810933463
Spectral Data 387[nm],0.001701517729
Spectral Data 388[nm],0.001567122759
Spectral Data 389[nm],0.001432175515
Spectral Data 390[nm],0.001321195625
Spectral Data 391[nm],0.001257847296
Spectral Data 392[nm],0.001250728499
Spectral Data 393[nm],0.001295555616
Spectral Data 394[nm],0.001387630473
Spectral Data 395[nm],0.001522156876
Spectral Data 396[nm],0.001688753371
Spectral Data 397[nm],0.001868532971
Spectral Data 398[nm],0.002041894710
Spectral Data 399[nm],0.002189244376
Spectral Data 400[nm],0.002296594204
Spectral Data 401[nm],0.002365670865
Spectral Data 402[nm],0.002400933532
Spectral Data 403[nm],0.002406842075
Spectral Data 404[nm],0.002387639834
Spectral Data 405[nm],0.002346401336
Spectral Data 406[nm],0.002285807626
Spectral Data 407[nm],0.002208539750
Spectral Data 408[nm],0.002117491793
Spectral Data 409[nm],0.002017917344
Spectral Data 410[nm],0.001916539622
Spectral Data 411[nm],0.001820104313
Spectral Data 412[nm],0.001735220081
Spectral Data 413[nm],0.001664673211
Spectral Data 414[nm],0.001607006881
Spectral Data 415[nm],0.001560543315
Spectral Data 416[nm],0.001523609855
Spectral Data 417[nm],0.001495236764
Spectral Data 418[nm],0.001475857571
Spectral Data 419[nm],0.001466072397
Spectral Data 420[nm],0.001466480782
Spectral Data 421[nm],0.001476409612
Spectral Data 422[nm],0.001490539755
Spectral Data 423[nm],0.001502419007
Spectral Data 424[nm],0.001505595283
Spectral Data 425[nm],0.001494619297
Spectral Data 426[nm],0.001471272437
Spectral Data 427[nm],0.001440479304
Spectral Data 428[nm],0.001407176256
Spectral Data 429[nm],0.001376135391
Spectral Data 430[nm],0.001349568600
Spectral Data 431[nm],0.001327664824
Spectral Data 432[nm],0.001310557593
Spectral Data 433[nm],0.001298364834
Spectral Data 434[nm],0.001290367916
Spectral Data 435[nm],0.001284667989
Spectral Data 436[nm],0.001279281452
Spectral Data 437[nm],0.001272237510
Spectral Data 438[nm],0.001261166530
Spectral Data 439[nm],0.001242334256
Spectral Data 440[nm],0.001211894210
Spectral Data 441[nm],0.001165999915
Spectral Data 442[nm],0.001100982423
Spectral Data 443[nm],0.001014507026
Spectral Data 444[nm],0.000904657296
Spectral Data 445[nm],0.000769512262
Spectral Data 446[nm],0.000607576221
Spectral Data 447[nm],0.000423019985
