Date Saved,12/05/2026 15:45,,,
Title,AS7341-cal_019_02°_Over,,,
CoolLED_nm,500,,,
CoolLED_strength,80,,,
,,,,
Measuring Mode,Ambient,,,
Viewing Angle [°],2,,,
Tcp [K],Over,,,
⊿uv,Over,,,
Illuminance [lx],580,,,
Illuminance [fc],53.9,,,
Peak Wavelength [nm],494,,,
Tristimulus Value X,86.3429,,,
Tristimulus Value Y,580.3587,,,
Tristimulus Value Z,918.0685,,,
CIE1931 x,0.0545,,,
CIE1931 y,0.3662,,,
CIE1931 z,0.5793,,,
CIE1976 u',0.0299,,,
CIE1976 v',0.4524,,,
Dominant Wavelength [nm],493,,,
Purity [%],92.4,,,
PPFD [umolm⁻²s⁻¹],12.3,,,
CRI Ra,Over,,,
CRI R1,Over,,,
CRI R2,Over,,,
CRI R3,Over,,,
CRI R4,Over,,,
CRI R5,Over,,,
CRI R6,Over,,,
CRI R7,Over,,,
CRI R8,Over,,,
CRI R9,Over,,,
CRI R10,Over,,,
CRI R11,Over,,,
CRI R12,Over,,,
CRI R13,Over,,,
CRI R14,Over,,,
CRI R15,Over,,,
TM-30 Rf,Over,,,
TM-30 Rg,Over,,,
SSIt,Under,,,
SSId,Under,,,
SSI1,---,,,
SSI2,---,,,
TLCI,Over,,,
TLMF,---,,,
,,,,
Spectral Data 380[nm],0,,,
Spectral Data 385[nm],0,,,
Spectral Data 390[nm],0,,,
Spectral Data 395[nm],0,,,
Spectral Data 400[nm],0,,,
Spectral Data 405[nm],0,,,
Spectral Data 410[nm],0,,,
Spectral Data 415[nm],0,,,
Spectral Data 420[nm],0,,,
Spectral Data 425[nm],0,,,
Spectral Data 430[nm],0,,,
Spectral Data 435[nm],0,,,
Spectral Data 440[nm],0,,,
Spectral Data 445[nm],8.20785E-06,,,
Spectral Data 450[nm],0.000264822,,,
Spectral Data 455[nm],0.001028028,,,
Spectral Data 460[nm],0.002629435,,,
Spectral Data 465[nm],0.005944394,,,
Spectral Data 470[nm],0.012613603,,,
Spectral Data 475[nm],0.025298802,,,
Spectral Data 480[nm],0.04650753,,,
Spectral Data 485[nm],0.073684514,,,
Spectral Data 490[nm],0.096174285,,,
Spectral Data 495[nm],0.100732528,,,
Spectral Data 500[nm],0.086025052,,,
Spectral Data 505[nm],0.06309709,,,
Spectral Data 510[nm],0.041032761,,,
Spectral Data 515[nm],0.022970971,,,
Spectral Data 520[nm],0.010422188,,,
Spectral Data 525[nm],0.003693552,,,
