Date Saved,12/05/2026 15:45,,,
Title,AS7341-cal_009_02°_Over,,,
CoolLED_nm,435,,,
CoolLED_strength,80,,,
,,,,
Measuring Mode,Ambient,,,
Viewing Angle [°],2,,,
Tcp [K],Over,,,
⊿uv,Over,,,
Illuminance [lx],78.6,,,
Illuminance [fc],7.31,,,
Peak Wavelength [nm],430,,,
Tristimulus Value X,1445.2743,,,
Tristimulus Value Y,78.6452,,,
Tristimulus Value Z,7151.9246,,,
CIE1931 x,0.1666,,,
CIE1931 y,0.0091,,,
CIE1931 z,0.8243,,,
CIE1976 u',0.2401,,,
CIE1976 v',0.0294,,,
Dominant Wavelength [nm],436,,,
Purity [%],100,,,
PPFD [umolm⁻²s⁻¹],29.8,,,
CRI Ra,Over,,,
CRI R1,Over,,,
CRI R2,Over,,,
CRI R3,Over,,,
CRI R4,Over,,,
CRI R5,Over,,,
CRI R6,Over,,,
CRI R7,Over,,,
CRI R8,Over,,,
CRI R9,Over,,,
CRI R10,Over,,,
CRI R11,Over,,,
CRI R12,Over,,,
CRI R13,Over,,,
CRI R14,Over,,,
CRI R15,Over,,,
TM-30 Rf,Over,,,
TM-30 Rg,Over,,,
SSIt,Under,,,
SSId,Under,,,
SSI1,---,,,
SSI2,---,,,
TLCI,Over,,,
TLMF,---,,,
,,,,
Spectral Data 380[nm],0,,,
Spectral Data 385[nm],0,,,
Spectral Data 390[nm],3.34122E-06,,,
Spectral Data 395[nm],0.000717886,,,
Spectral Data 400[nm],0.004715356,,,
Spectral Data 405[nm],0.015625816,,,
Spectral Data 410[nm],0.041788712,,,
Spectral Data 415[nm],0.096443787,,,
Spectral Data 420[nm],0.188025817,,,
Spectral Data 425[nm],0.291579843,,,
Spectral Data 430[nm],0.345127076,,,
Spectral Data 435[nm],0.306667835,,,
Spectral Data 440[nm],0.204611883,,,
Spectral Data 445[nm],0.102720991,,,
Spectral Data 450[nm],0.040731896,,,
Spectral Data 455[nm],0.013197776,,,
Spectral Data 460[nm],0.004134316,,,
Spectral Data 465[nm],0.001754193,,,
Spectral Data 470[nm],0.000969735,,,
Spectral Data 475[nm],0.000501187,,,
Spectral Data 480[nm],0.000240532,,,
Spectral Data 485[nm],0.000117555,,,
Spectral Data 490[nm],3.66607E-05,,,
Spectral Data 495[nm],8.03539E-07,,,
Spectral Data 500[nm],0,,,
Spectral Data 505[nm],1.51843E-05,,,
Spectral Data 510[nm],8.03411E-05,,,
Spectral Data 515[nm],9.04852E-05,,,
Spectral Data 520[nm],6.02666E-05,,,
Spectral Data 525[nm],3.80674E-05,,,
Spectral Data 530[nm],1.74728E-06,,,
Spectral Data 535[nm],0,,,
Spectral Data 540[nm],0,,,
Spectral Data 545[nm],0,,,
Spectral Data 550[nm],0,,,
Spectral Data 555[nm],0,,,
Spectral Data 560[nm],0,,,
Spectral Data 565[nm],0,,,
Spectral Data 570[nm],0,,,
Spectral Data 575[nm],0,,,
Spectral Data 580[nm],0,,,
Spectral Data 585[nm],0,,,
Spectral Data 590[nm],0,,,
Spectral Data 595[nm],0,,,
Spectral Data 600[nm],0,,,
Spectral Data 605[nm],0,,,
Spectral Data 610[nm],0,,,
Spectral Data 615[nm],0,,,
