Date Saved,04/06/2026 15:51:04
Title,AS7341-calRE2_038_02°_Under
CoolLED_nm,660
CoolLED_strength,50

Measuring Mode,Ambient
Viewing Angle [°],2
Tcp [K],Under
⊿uv,Under
Illuminance [lx],669
Illuminance [fc],62.1
Peak Wavelength [nm],660
Tristimulus Value X,1708.4349
Tristimulus Value Y,668.9190
Tristimulus Value Z,35.6453
CIE1931 x,0.7080
CIE1931 y,0.2772
CIE1931 z,0.0148
CIE1976 u',0.5767
CIE1976 v',0.5081
Dominant Wavelength [nm],649
Purity [%],95.6
PPFD [umolm⁻²s⁻¹],63.5
CRI Ra,Under
CRI R1,Under
CRI R2,Under
CRI R3,Under
CRI R4,Under
CRI R5,Under
CRI R6,Under
CRI R7,Under
CRI R8,Under
CRI R9,Under
CRI R10,Under
CRI R11,Under
CRI R12,Under
CRI R13,Under
CRI R14,Under
CRI R15,Under
TM-30 Rf,Under
TM-30 Rg,Under
SSIt,Under
SSId,Under
SSI1,---
SSI2,---
TLCI,Under
TLMF,---

Spectral Data 380[nm],0.002384264255
Spectral Data 385[nm],0.002283683978
Spectral Data 390[nm],0.001711227349
Spectral Data 395[nm],0.001355950022
Spectral Data 400[nm],0.001531961374
Spectral Data 405[nm],0.001581853954
Spectral Data 410[nm],0.001454278477
Spectral Data 415[nm],0.001472219592
Spectral Data 420[nm],0.001699998276
Spectral Data 425[nm],0.001317664981
Spectral Data 430[nm],0.000814526109
Spectral Data 435[nm],0.000753748405
Spectral Data 440[nm],0.000796260312
Spectral Data 445[nm],0.000792021747
Spectral Data 450[nm],0.000455151050
Spectral Data 455[nm],0.000165500169
Spectral Data 460[nm],0.000043703076
Spectral Data 465[nm],0.000000000000
Spectral Data 470[nm],0.000000000000
Spectral Data 475[nm],0.000000000000
Spectral Data 480[nm],0.000002747118
Spectral Data 485[nm],0.000038691076
Spectral Data 490[nm],0.000003951439
Spectral Data 495[nm],0.000031137301
Spectral Data 500[nm],0.000270490855
Spectral Data 505[nm],0.000413008267
Spectral Data 510[nm],0.000403583632
Spectral Data 515[nm],0.000412978348
Spectral Data 520[nm],0.000391190784
Spectral Data 525[nm],0.000259347114
Spectral Data 530[nm],0.000104000908
Spectral Data 535[nm],0.000081781283
Spectral Data 540[nm],0.000356215984
Spectral Data 545[nm],0.000219327922
Spectral Data 550[nm],0.000257407170
Spectral Data 555[nm],0.000418692565
Spectral Data 560[nm],0.000287630246
Spectral Data 565[nm],0.000315980666
Spectral Data 570[nm],0.000527332595
Spectral Data 575[nm],0.000443514640
Spectral Data 580[nm],0.000414625480
Spectral Data 585[nm],0.000299509469
Spectral Data 590[nm],0.000472708547
Spectral Data 595[nm],0.000546799449
Spectral Data 600[nm],0.000663238927
Spectral Data 605[nm],0.001298842370
Spectral Data 610[nm],0.002938572550
Spectral Data 615[nm],0.006309243850
Spectral Data 620[nm],0.011865329929
Spectral Data 625[nm],0.020749265328
Spectral Data 630[nm],0.035786900669
Spectral Data 635[nm],0.061135243624
Spectral Data 640[nm],0.101651981473
Spectral Data 645[nm],0.164075851440
Spectral Data 650[nm],0.255255311728
Spectral Data 655[nm],0.361039280891
Spectral Data 660[nm],0.414821445942
Spectral Data 665[nm],0.359248846769
Spectral Data 670[nm],0.236568093300
Spectral Data 675[nm],0.131767779589
Spectral Data 680[nm],0.069670617580
Spectral Data 685[nm],0.034536916763
Spectral Data 690[nm],0.015526493080
Spectral Data 695[nm],0.006430495065
Spectral Data 700[nm],0.003064514138
Spectral Data 705[nm],0.001611938234
Spectral Data 710[nm],0.000669519068
Spectral Data 715[nm],0.000113796988
Spectral Data 720[nm],0.000014733207
Spectral Data 725[nm],0.000284549606
Spectral Data 730[nm],0.000281009619
Spectral Data 735[nm],0.000275628263
Spectral Data 740[nm],0.000127662875
Spectral Data 745[nm],0.000099915153
Spectral Data 750[nm],0.000283228030
Spectral Data 755[nm],0.000401077530
Spectral Data 760[nm],0.000190998311
Spectral Data 765[nm],0.000481265044
Spectral Data 770[nm],0.000277064595
Spectral Data 775[nm],0.000168073966
Spectral Data 780[nm],0.000669007772

Spectral Data 380[nm],0.002515214495
Spectral Data 381[nm],0.002464422490
Spectral Data 382[nm],0.002409621142
Spectral Data 383[nm],0.002379632788
Spectral Data 384[nm],0.002362185856
Spectral Data 385[nm],0.002334734658
Spectral Data 386[nm],0.002274733735
Spectral Data 387[nm],0.002163249068
Spectral Data 388[nm],0.002009818563
Spectral Data 389[nm],0.001837474294
Spectral Data 390[nm],0.001669329358
Spectral Data 391[nm],0.001527763321
Spectral Data 392[nm],0.001422224683
Spectral Data 393[nm],0.001351107494
Spectral Data 394[nm],0.001312449342
Spectral Data 395[nm],0.001304261386
Spectral Data 396[nm],0.001323036384
Spectral Data 397[nm],0.001362954732
Spectral Data 398[nm],0.001418002532
Spectral Data 399[nm],0.001482165069
Spectral Data 400[nm],0.001548531116
Spectral Data 401[nm],0.001607676852
Spectral Data 402[nm],0.001649741782
Spectral Data 403[nm],0.001664865064
Spectral Data 404[nm],0.001646160497
Spectral Data 405[nm],0.001602830132
Spectral Data 406[nm],0.001549490378
Spectral Data 407[nm],0.001500761718
Spectral Data 408[nm],0.001470027142
Spectral Data 409[nm],0.001456957660
Spectral Data 410[nm],0.001452687662
Spectral Data 411[nm],0.001448222552
Spectral Data 412[nm],0.001434957376
Spectral Data 413[nm],0.001415189705
Spectral Data 414[nm],0.001403319300
Spectral Data 415[nm],0.001414376195
Spectral Data 416[nm],0.001463292399
Spectral Data 417[nm],0.001551815774
Spectral Data 418[nm],0.001655374072
Spectral Data 419[nm],0.001746268477
Spectral Data 420[nm],0.001796800061
Spectral Data 421[nm],0.001786376350
Spectral Data 422[nm],0.001721309731
Spectral Data 423[nm],0.001614212408
Spectral Data 424[nm],0.001477696700
Spectral Data 425[nm],0.001324402634
Spectral Data 426[nm],0.001167686773
Spectral Data 427[nm],0.001021142351
Spectral Data 428[nm],0.000898350321
Spectral Data 429[nm],0.000812092330
Spectral Data 430[nm],0.000762707670
Spectral Data 431[nm],0.000740702089
Spectral Data 432[nm],0.000736313057
Spectral Data 433[nm],0.000739857089
Spectral Data 434[nm],0.000745341706
Spectral Data 435[nm],0.000751964108
Spectral Data 436[nm],0.000759311370
Spectral Data 437[nm],0.000766968646
Spectral Data 438[nm],0.000774794316
Spectral Data 439[nm],0.000783416966
Spectral Data 440[nm],0.000793573912
Spectral Data 441[nm],0.000806002412
Spectral Data 442[nm],0.000820647459
Spectral Data 443[nm],0.000833145925
Spectral Data 444[nm],0.000837552594
Spectral Data 445[nm],0.000827915734
Spectral Data 446[nm],0.000798546418
Spectral Data 447[nm],0.000747254293
Spectral Data 448[nm],0.000674337149
Spectral Data 449[nm],0.000580146210
Spectral Data 450[nm],0.000465187855
Spectral Data 451[nm],0.000338901475
Spectral Data 452[nm],0.000223042705
Spectral Data 453[nm],0.000140171440
Spectral Data 454[nm],0.000112798109
Spectral Data 455[nm],0.000146173435
Spectral Data 456[nm],0.000197973015
Spectral Data 457[nm],0.000217325331
Spectral Data 458[nm],0.000153358938
Spectral Data 459[nm],0.000000000000
Spectral Data 460[nm],0.000000000000
Spectral Data 461[nm],0.000000000000
Spectral Data 462[nm],0.000000000000
Spectral Data 463[nm],0.000000000000
Spectral Data 464[nm],0.000000000000
Spectral Data 465[nm],0.000000000000
Spectral Data 466[nm],0.000000000000
Spectral Data 467[nm],0.000000000000
Spectral Data 468[nm],0.000000000000
Spectral Data 469[nm],0.000000000000
Spectral Data 470[nm],0.000000000000
Spectral Data 471[nm],0.000000000000
Spectral Data 472[nm],0.000000000000
Spectral Data 473[nm],0.000000000000
Spectral Data 474[nm],0.000000000000
Spectral Data 475[nm],0.000000000000
Spectral Data 476[nm],0.000000000000
Spectral Data 477[nm],0.000000000000
Spectral Data 478[nm],0.000000000000
Spectral Data 479[nm],0.000000000000
Spectral Data 480[nm],0.000000000000
Spectral Data 481[nm],0.000000000000
Spectral Data 482[nm],0.000000000000
Spectral Data 483[nm],0.000002654764
Spectral Data 484[nm],0.000063369014
Spectral Data 485[nm],0.000080432401
Spectral Data 486[nm],0.000062209598
Spectral Data 487[nm],0.000018289778
Spectral Data 488[nm],0.000000000000
Spectral Data 489[nm],0.000000000000
Spectral Data 490[nm],0.000000000000
Spectral Data 491[nm],0.000000000000
Spectral Data 492[nm],0.000000000000
Spectral Data 493[nm],0.000000000000
Spectral Data 494[nm],0.000000000000
Spectral Data 495[nm],0.000000000000
Spectral Data 496[nm],0.000000000000
Spectral Data 497[nm],0.000077914156
Spectral Data 498[nm],0.000157479910
Spectral Data 499[nm],0.000229746191
Spectral Data 500[nm],0.000292434095
Spectral Data 501[nm],0.000343278574
Spectral Data 502[nm],0.000381238904
Spectral Data 503[nm],0.000407256710
Spectral Data 504[nm],0.000422441342
Spectral Data 505[nm],0.000427902385
Spectral Data 506[nm],0.000425209553
Spectral Data 507[nm],0.000417426199
Spectral Data 508[nm],0.000407918153
Spectral Data 509[nm],0.000400051271
Spectral Data 510[nm],0.000396742573
Spectral Data 511[nm],0.000397786032
Spectral Data 512[nm],0.000401654106
Spectral Data 513[nm],0.000406814826
Spectral Data 514[nm],0.000411769550
Spectral Data 515[nm],0.000415647140
Spectral Data 516[nm],0.000418111973
Spectral Data 517[nm],0.000418843963
Spectral Data 518[nm],0.000417520467
Spectral Data 519[nm],0.000413250789
Spectral Data 520[nm],0.000404186343
Spectral Data 521[nm],0.000388402725
Spectral Data 522[nm],0.000363976549
Spectral Data 523[nm],0.000330340408
Spectral Data 524[nm],0.000291510019
Spectral Data 525[nm],0.000252511760
Spectral Data 526[nm],0.000218371977
Spectral Data 527[nm],0.000193079031
Spectral Data 528[nm],0.000172695232
Spectral Data 529[nm],0.000149765969
Spectral Data 530[nm],0.000116826988
Spectral Data 531[nm],0.000067220681
Spectral Data 532[nm],0.000008526004
Spectral Data 533[nm],0.000000000000
Spectral Data 534[nm],0.000000000000
Spectral Data 535[nm],0.000000000000
Spectral Data 536[nm],0.000078101133
Spectral Data 537[nm],0.000200426715
Spectral Data 538[nm],0.000320145482
Spectral Data 539[nm],0.000406389852
Spectral Data 540[nm],0.000436793023
Spectral Data 541[nm],0.000420033408
Spectral Data 542[nm],0.000371890259
Spectral Data 543[nm],0.000308142829
Spectral Data 544[nm],0.000243829389
Spectral Data 545[nm],0.000188562844
Spectral Data 546[nm],0.000149330808
Spectral Data 547[nm],0.000133093039
Spectral Data 548[nm],0.000146427075
