Date Saved,14/05/2026 09:44,,,
Title,AS7341-cal_052_02°_5386K,,,
Direct sun,,,,
,,,,
,,,,
Measuring Mode,Ambient,,,
Viewing Angle [°],2,,,
Tcp [K],5386,,,
⊿uv,0.0029,,,
Illuminance [lx],102000,,,
Illuminance [fc],9510,,,
Peak Wavelength [nm],535,,,
Tristimulus Value X,98246.8809,,,
Tristimulus Value Y,102338.0414,,,
Tristimulus Value Z,92467.9483,,,
CIE1931 x,0.3353,,,
CIE1931 y,0.3492,,,
CIE1931 z,0.3155,,,
CIE1976 u',0.2057,,,
CIE1976 v',0.482,,,
Dominant Wavelength [nm],559,,,
Purity [%],5.4,,,
PPFD [umolm⁻²s⁻¹],1829,,,
CRI Ra,99.5,,,
CRI R1,99.8,,,
CRI R2,99.5,,,
CRI R3,99.1,,,
CRI R4,99.6,,,
CRI R5,99.7,,,
CRI R6,99.3,,,
CRI R7,99.4,,,
CRI R8,99.3,,,
CRI R9,98.8,,,
CRI R10,98.7,,,
CRI R11,99.5,,,
CRI R12,98.2,,,
CRI R13,99.7,,,
CRI R14,99.4,,,
CRI R15,99.7,,,
TM-30 Rf,100,,,
TM-30 Rg,100,,,
SSIt,60,,,
SSId,98,,,
SSI1,---,,,
SSI2,---,,,
TLCI,100,,,
TLMF,---,,,
,,,,
Spectral Data 380[nm],0.431173027,,,
Spectral Data 385[nm],0.47391808,,,
Spectral Data 390[nm],0.52363795,,,
Spectral Data 395[nm],0.613207221,,,
Spectral Data 400[nm],0.729514241,,,
Spectral Data 405[nm],0.83169961,,,
Spectral Data 410[nm],0.916477859,,,
Spectral Data 415[nm],0.990007162,,,
Spectral Data 420[nm],1.02222538,,,
Spectral Data 425[nm],1.007912636,,,
Spectral Data 430[nm],1.014247656,,,
Spectral Data 435[nm],1.073552966,,,
Spectral Data 440[nm],1.153448224,,,
Spectral Data 445[nm],1.230842352,,,
Spectral Data 450[nm],1.311236858,,,
Spectral Data 455[nm],1.386041045,,,
Spectral Data 460[nm],1.418293476,,,
Spectral Data 465[nm],1.40961957,,,
Spectral Data 470[nm],1.409800529,,,
Spectral Data 475[nm],1.427943707,,,
Spectral Data 480[nm],1.437100291,,,
Spectral Data 485[nm],1.438392758,,,
Spectral Data 490[nm],1.442945957,,,
Spectral Data 495[nm],1.447163939,,,
Spectral Data 500[nm],1.442991257,,,
Spectral Data 505[nm],1.434052229,,,
Spectral Data 510[nm],1.421903014,,,
Spectral Data 515[nm],1.405493379,,,
Spectral Data 520[nm],1.405693531,,,
Spectral Data 525[nm],1.426763177,,,
Spectral Data 530[nm],1.454784632,,,
Spectral Data 535[nm],1.476221204,,,
Spectral Data 540[nm],1.463102221,,,
Spectral Data 545[nm],1.438961267,,,
Spectral Data 550[nm],1.432620287,,,
Spectral Data 555[nm],1.427258134,,,
Spectral Data 560[nm],1.417042494,,,
Spectral Data 565[nm],1.405391097,,,
Spectral Data 570[nm],1.392798781,,,
Spectral Data 575[nm],1.388733983,,,
Spectral Data 580[nm],1.391650438,,,
Spectral Data 585[nm],1.386454463,,,
Spectral Data 590[nm],1.373640537,,,
Spectral Data 595[nm],1.364988685,,,
Spectral Data 600[nm],1.362794161,,,
Spectral Data 605[nm],1.361025929,,,
Spectral Data 610[nm],1.356773376,,,
Spectral Data 615[nm],1.349742055,,,
Spectral Data 620[nm],1.337674141,,,
Spectral Data 625[nm],1.32208848,,,
Spectral Data 630[nm],1.315381527,,,
Spectral Data 635[nm],1.321448684,,,
Spectral Data 640[nm],1.325411439,,,
Spectral Data 645[nm],1.316816568,,,
Spectral Data 650[nm],1.29949367,,,
Spectral Data 655[nm],1.293468595,,,
Spectral Data 660[nm],1.305880308,,,
Spectral Data 665[nm],1.320747018,,,
Spectral Data 670[nm],1.325327277,,,
Spectral Data 675[nm],1.319701433,,,
Spectral Data 680[nm],1.283205986,,,
Spectral Data 685[nm],1.225600362,,,
Spectral Data 690[nm],1.204154611,,,
Spectral Data 695[nm],1.223985076,,,
Spectral Data 700[nm],1.243955731,,,
Spectral Data 705[nm],1.250607729,,,
Spectral Data 710[nm],1.23065114,,,
Spectral Data 715[nm],1.175786614,,,
Spectral Data 720[nm],1.123247504,,,
Spectral Data 725[nm],1.115561962,,,
Spectral Data 730[nm],1.148843527,,,
Spectral Data 735[nm],1.185716629,,,
Spectral Data 740[nm],1.206015229,,,
Spectral Data 745[nm],1.213670969,,,
Spectral Data 750[nm],1.160922408,,,
Spectral Data 755[nm],1.007421851,,,
Spectral Data 760[nm],0.860855937,,,
Spectral Data 765[nm],0.873565078,,,
Spectral Data 770[nm],1.007004142,,,
Spectral Data 775[nm],1.102768898,,,
Spectral Data 780[nm],1.143194199,,,
,,,,
Spectral Data 380[nm],0.430357158,,,
Spectral Data 381[nm],0.441577911,,,
Spectral Data 382[nm],0.450549126,,,
Spectral Data 383[nm],0.458365828,,,
Spectral Data 384[nm],0.465597183,,,
Spectral Data 385[nm],0.472647011,,,
Spectral Data 386[nm],0.479919195,,,
Spectral Data 387[nm],0.487815291,,,
Spectral Data 388[nm],0.49671334,,,
Spectral Data 389[nm],0.506977856,,,
Spectral Data 390[nm],0.518973112,,,
Spectral Data 391[nm],0.533052146,,,
Spectral Data 392[nm],0.549339235,,,
Spectral Data 393[nm],0.567730606,,,
Spectral Data 394[nm],0.588110626,,,
Spectral Data 395[nm],0.610361457,,,
Spectral Data 396[nm],0.634176314,,,
Spectral Data 397[nm],0.658913791,,,
Spectral Data 398[nm],0.683895946,,,
Spectral Data 399[nm],0.708444953,,,
Spectral Data 400[nm],0.73202306,,,
Spectral Data 401[nm],0.754546344,,,
Spectral Data 402[nm],0.77602303,,,
Spectral Data 403[nm],0.796461284,,,
Spectral Data 404[nm],0.815881968,,,
Spectral Data 405[nm],0.834377885,,,
Spectral Data 406[nm],0.852070034,,,
Spectral Data 407[nm],0.86907959,,,
Spectral Data 408[nm],0.885530293,,,
Spectral Data 409[nm],0.901574194,,,
Spectral Data 410[nm],0.917383254,,,
Spectral Data 411[nm],0.933130085,,,
Spectral Data 412[nm],0.948977053,,,
Spectral Data 413[nm],0.964752793,,,
Spectral Data 414[nm],0.97988528,,,
Spectral Data 415[nm],0.993778765,,,
Spectral Data 416[nm],1.005839348,,,
Spectral Data 417[nm],1.015576005,,,
Spectral Data 418[nm],1.02270329,,,
Spectral Data 419[nm],1.026966929,,,
Spectral Data 420[nm],1.028112769,,,
Spectral Data 421[nm],1.026107907,,,
Spectral Data 422[nm],1.021793485,,,
Spectral Data 423[nm],1.016231894,,,
Spectral Data 424[nm],1.010485411,,,
Spectral Data 425[nm],1.005560279,,,
Spectral Data 426[nm],1.002035379,,,
Spectral Data 427[nm],1.000292182,,,
Spectral Data 428[nm],1.000711322,,,
Spectral Data 429[nm],1.003655791,,,
Spectral Data 430[nm],1.009241223,,,
Spectral Data 431[nm],1.017382026,,,
Spectral Data 432[nm],1.027984738,,,
Spectral Data 433[nm],1.040951252,,,
Spectral Data 434[nm],1.055946469,,,
Spectral Data 435[nm],1.072293162,,,
Spectral Data 436[nm],1.0892874,,,
Spectral Data 437[nm],1.106225848,,,
