Date Saved,04/06/2026 15:51:10
Title,AS7341-calRE2_045_02°_Under
CoolLED_nm,770
CoolLED_strength,100

Measuring Mode,Ambient
Viewing Angle [°],2
Tcp [K],Under
⊿uv,Under
Illuminance [lx],4.0
Illuminance [fc],0.38
Peak Wavelength [nm],780
Tristimulus Value X,7.3576
Tristimulus Value Y,4.0394
Tristimulus Value Z,28.1788
CIE1931 x,0.1859
CIE1931 y,0.1021
CIE1931 z,0.7120
CIE1976 u',0.1930
CIE1976 v',0.2384
Dominant Wavelength [nm],461
Purity [%],76.9
PPFD [umolm⁻²s⁻¹],0.3
CRI Ra,Under
CRI R1,Under
CRI R2,Under
CRI R3,Under
CRI R4,Under
CRI R5,Under
CRI R6,Under
CRI R7,Under
CRI R8,Under
CRI R9,Under
CRI R10,Under
CRI R11,Under
CRI R12,Under
CRI R13,Under
CRI R14,Under
CRI R15,Under
TM-30 Rf,Under
TM-30 Rg,Under
SSIt,Under
SSId,23
SSI1,---
SSI2,---
TLCI,Under
TLMF,---

Spectral Data 380[nm],0.000681896694
Spectral Data 385[nm],0.000685209641
Spectral Data 390[nm],0.000648690737
Spectral Data 395[nm],0.000463736040
Spectral Data 400[nm],0.000420462311
Spectral Data 405[nm],0.000535469444
Spectral Data 410[nm],0.000511087244
Spectral Data 415[nm],0.000296074897
Spectral Data 420[nm],0.000269274111
Spectral Data 425[nm],0.000286654948
Spectral Data 430[nm],0.000294531550
Spectral Data 435[nm],0.000342542975
Spectral Data 440[nm],0.000405695406
Spectral Data 445[nm],0.000478039874
Spectral Data 450[nm],0.000505206233
Spectral Data 455[nm],0.000435676426
Spectral Data 460[nm],0.000428679050
Spectral Data 465[nm],0.000513446052
Spectral Data 470[nm],0.000458484545
Spectral Data 475[nm],0.000304292917
Spectral Data 480[nm],0.000319169514
Spectral Data 485[nm],0.000275892526
Spectral Data 490[nm],0.000277401123
Spectral Data 495[nm],0.000328147027
Spectral Data 500[nm],0.000284334703
Spectral Data 505[nm],0.000193246204
Spectral Data 510[nm],0.000168206272
Spectral Data 515[nm],0.000135162089
Spectral Data 520[nm],0.000110812674
Spectral Data 525[nm],0.000069041744
Spectral Data 530[nm],0.000001630213
Spectral Data 535[nm],0.000000000000
Spectral Data 540[nm],0.000000000000
Spectral Data 545[nm],0.000000000000
Spectral Data 550[nm],0.000000000000
Spectral Data 555[nm],0.000000000000
Spectral Data 560[nm],0.000000000000
Spectral Data 565[nm],0.000000000000
Spectral Data 570[nm],0.000000000000
Spectral Data 575[nm],0.000000000000
Spectral Data 580[nm],0.000000000000
Spectral Data 585[nm],0.000000000000
Spectral Data 590[nm],0.000000000000
Spectral Data 595[nm],0.000000000000
Spectral Data 600[nm],0.000000000000
Spectral Data 605[nm],0.000000000000
Spectral Data 610[nm],0.000000000000
Spectral Data 615[nm],0.000000000000
Spectral Data 620[nm],0.000000000000
Spectral Data 625[nm],0.000000379759
Spectral Data 630[nm],0.000047524023
