Date Saved,12/05/2026 15:45,,,
Title,AS7341-cal_024_02°_4336K,,,
CoolLED_snm,580,,,
CoolLED_strength,50,,,
,,,,
Measuring Mode,Ambient,,,
Viewing Angle [°],2,,,
Tcp [K],4336,,,
⊿uv,0.0638,,,
Illuminance [lx],3510,,,
Illuminance [fc],326,,,
Peak Wavelength [nm],556,,,
Tristimulus Value X,2491.9368,,,
Tristimulus Value Y,3510.9727,,,
Tristimulus Value Z,75.5368,,,
CIE1931 x,0.41,,,
CIE1931 y,0.5776,,,
CIE1931 z,0.0124,,,
CIE1976 u',0.18,,,
CIE1976 v',0.5705,,,
Dominant Wavelength [nm],566,,,
Purity [%],96.7,,,
PPFD [umolm⁻²s⁻¹],28.5,,,
CRI Ra,0.6,,,
CRI R1,8.1,,,
CRI R2,24.4,,,
CRI R3,2,,,
CRI R4,-30.1,,,
CRI R5,13.2,,,
CRI R6,14.6,,,
CRI R7,8.5,,,
CRI R8,-35.8,,,
CRI R9,-100,,,
CRI R10,-59.2,,,
CRI R11,-59.3,,,
CRI R12,-25.3,,,
CRI R13,12.8,,,
CRI R14,47.7,,,
CRI R15,-20,,,
TM-30 Rf,9,,,
TM-30 Rg,9,,,
SSIt,3,,,
SSId,Under,,,
SSI1,---,,,
SSI2,---,,,
TLCI,2,,,
TLMF,---,,,
,,,,
Spectral Data 380[nm],0,,,
Spectral Data 385[nm],0,,,
Spectral Data 390[nm],0,,,
Spectral Data 395[nm],0,,,
Spectral Data 400[nm],0,,,
Spectral Data 405[nm],0,,,
Spectral Data 410[nm],0,,,
Spectral Data 415[nm],0,,,
Spectral Data 420[nm],0,,,
Spectral Data 425[nm],0,,,
Spectral Data 430[nm],0,,,
Spectral Data 435[nm],0,,,
Spectral Data 440[nm],3.37598E-05,,,
Spectral Data 445[nm],7.66408E-05,,,
Spectral Data 450[nm],5.18278E-05,,,
Spectral Data 455[nm],6.55929E-05,,,
Spectral Data 460[nm],8.58088E-05,,,
Spectral Data 465[nm],0.000121787,,,
Spectral Data 470[nm],0.000188367,,,
Spectral Data 475[nm],9.10821E-05,,,
Spectral Data 480[nm],1.27872E-05,,,
Spectral Data 485[nm],7.84222E-05,,,
Spectral Data 490[nm],0.000164469,,,
Spectral Data 495[nm],0.000292136,,,
Spectral Data 500[nm],0.000956724,,,
Spectral Data 505[nm],0.003551808,,,
Spectral Data 510[nm],0.010660543,,,
Spectral Data 515[nm],0.023710437,,,
Spectral Data 520[nm],0.040184509,,,
Spectral Data 525[nm],0.054468647,,,
Spectral Data 530[nm],0.06279543,,,
Spectral Data 535[nm],0.066722021,,,
Spectral Data 540[nm],0.069132961,,,
Spectral Data 545[nm],0.071202062,,,
Spectral Data 550[nm],0.072776146,,,
Spectral Data 555[nm],0.073458947,,,
Spectral Data 560[nm],0.07321994,,,
Spectral Data 565[nm],0.072191842,,,
Spectral Data 570[nm],0.07057526,,,
Spectral Data 575[nm],0.068544462,,,
Spectral Data 580[nm],0.065810196,,,
Spectral Data 585[nm],0.062640727,,,
Spectral Data 590[nm],0.059376143,,,
Spectral Data 595[nm],0.054856576,,,
Spectral Data 600[nm],0.04719143,,,
Spectral Data 605[nm],0.036350492,,,
Spectral Data 610[nm],0.024335517,,,
Spectral Data 615[nm],0.013768562,,,
Spectral Data 620[nm],0.006587073,,,
Spectral Data 625[nm],0.00297007,,,
Spectral Data 630[nm],0.00152047,,,
Spectral Data 635[nm],0.000874496,,,
Spectral Data 640[nm],0.000562193,,,
Spectral Data 645[nm],0.000395475,,,
Spectral Data 650[nm],0.000225042,,,
Spectral Data 655[nm],0.000177182,,,
Spectral Data 660[nm],0.000242245,,,
Spectral Data 665[nm],0.000207376,,,
Spectral Data 670[nm],0.000177152,,,
Spectral Data 675[nm],2.81803E-05,,,
Spectral Data 680[nm],0,,,
Spectral Data 685[nm],0,,,
Spectral Data 690[nm],0,,,
Spectral Data 695[nm],0,,,
Spectral Data 700[nm],0,,,
Spectral Data 705[nm],0,,,
Spectral Data 710[nm],0,,,
Spectral Data 715[nm],0,,,
Spectral Data 720[nm],0,,,
Spectral Data 725[nm],0,,,
Spectral Data 730[nm],0,,,
Spectral Data 735[nm],0,,,
Spectral Data 740[nm],0,,,
Spectral Data 745[nm],0,,,
Spectral Data 750[nm],0,,,
Spectral Data 755[nm],0,,,
Spectral Data 760[nm],0,,,
Spectral Data 765[nm],0,,,
Spectral Data 770[nm],0,,,
Spectral Data 775[nm],0,,,
Spectral Data 780[nm],0,,,
,,,,
Spectral Data 380[nm],0,,,
Spectral Data 381[nm],0,,,
Spectral Data 382[nm],0,,,
Spectral Data 383[nm],0,,,
Spectral Data 384[nm],0,,,
Spectral Data 385[nm],0,,,
Spectral Data 386[nm],0,,,
Spectral Data 387[nm],0,,,
Spectral Data 388[nm],0,,,
Spectral Data 389[nm],0,,,
Spectral Data 390[nm],0,,,
Spectral Data 391[nm],0,,,
Spectral Data 392[nm],0,,,
Spectral Data 393[nm],0,,,
Spectral Data 394[nm],0,,,
Spectral Data 395[nm],0,,,
Spectral Data 396[nm],0,,,
Spectral Data 397[nm],0,,,
Spectral Data 398[nm],0,,,
Spectral Data 399[nm],0,,,
Spectral Data 400[nm],0,,,
Spectral Data 401[nm],0,,,
Spectral Data 402[nm],0,,,
Spectral Data 403[nm],0,,,
Spectral Data 404[nm],0,,,
Spectral Data 405[nm],0,,,
Spectral Data 406[nm],0,,,
Spectral Data 407[nm],0,,,
Spectral Data 408[nm],0,,,
Spectral Data 409[nm],0,,,
Spectral Data 410[nm],0,,,
Spectral Data 411[nm],0,,,
Spectral Data 412[nm],0,,,
Spectral Data 413[nm],0,,,
Spectral Data 414[nm],0,,,
Spectral Data 415[nm],0,,,
Spectral Data 416[nm],0,,,
Spectral Data 417[nm],0,,,
