Date Saved,14/05/2026 09:44,,,
Title,AS7341-cal_041_02°_Over,,,
CoolLED_nm,490,,,
CoolLED_strength,50,,,
,,,,
Measuring Mode,Ambient,,,
Viewing Angle [°],2,,,
Tcp [K],Over,,,
⊿uv,Over,,,
Illuminance [lx],489,,,
Illuminance [fc],45.4,,,
Peak Wavelength [nm],491,,,
Tristimulus Value X,87.8363,,,
Tristimulus Value Y,488.9392,,,
Tristimulus Value Z,900.461,,,
CIE1931 x,0.0595,,,
CIE1931 y,0.331,,,
CIE1931 z,0.6096,,,
CIE1976 u',0.0347,,,
CIE1976 v',0.4347,,,
Dominant Wavelength [nm],492,,,
Purity [%],93,,,
PPFD [umolm⁻²s⁻¹],11,,,
CRI Ra,Over,,,
CRI R1,Over,,,
CRI R2,Over,,,
CRI R3,Over,,,
CRI R4,Over,,,
CRI R5,Over,,,
CRI R6,Over,,,
CRI R7,Over,,,
CRI R8,Over,,,
CRI R9,Over,,,
CRI R10,Over,,,
CRI R11,Over,,,
CRI R12,Over,,,
CRI R13,Over,,,
CRI R14,Over,,,
CRI R15,Over,,,
TM-30 Rf,Over,,,
TM-30 Rg,Over,,,
SSIt,Under,,,
SSId,Under,,,
SSI1,---,,,
SSI2,---,,,
TLCI,Over,,,
TLMF,---,,,
,,,,
Spectral Data 380[nm],0,,,
Spectral Data 385[nm],0,,,
Spectral Data 390[nm],0,,,
Spectral Data 395[nm],0,,,
Spectral Data 400[nm],0,,,
Spectral Data 405[nm],0,,,
Spectral Data 410[nm],0,,,
Spectral Data 415[nm],0,,,
Spectral Data 420[nm],0,,,
Spectral Data 425[nm],0,,,
Spectral Data 430[nm],0,,,
Spectral Data 435[nm],0,,,
Spectral Data 440[nm],0,,,
Spectral Data 445[nm],2.49952E-05,,,
Spectral Data 450[nm],0.000311605,,,
Spectral Data 455[nm],0.001117196,,,
Spectral Data 460[nm],0.002963067,,,
Spectral Data 465[nm],0.006880745,,,
Spectral Data 470[nm],0.014785787,,,
Spectral Data 475[nm],0.029067174,,,
Spectral Data 480[nm],0.050889093,,,
Spectral Data 485[nm],0.074914731,,,
Spectral Data 490[nm],0.089517601,,,
Spectral Data 495[nm],0.08597035,,,
Spectral Data 500[nm],0.068865381,,,
Spectral Data 505[nm],0.048885558,,,
Spectral Data 510[nm],0.031258132,,,
Spectral Data 515[nm],0.017322758,,,
Spectral Data 520[nm],0.007811373,,,
Spectral Data 525[nm],0.002735937,,,
Spectral Data 530[nm],0.000784811,,,
Spectral Data 535[nm],0.000254279,,,
Spectral Data 540[nm],0.000104996,,,
Spectral Data 545[nm],1.83785E-05,,,
Spectral Data 550[nm],0,,,
Spectral Data 555[nm],0,,,
Spectral Data 560[nm],0,,,
Spectral Data 565[nm],4.40515E-06,,,
