Date Saved,14/05/2026 09:44,,,
Spectral Data 433[nm],0.226798117,,,
Spectral Data 434[nm],0.219597876,,,
Spectral Data 435[nm],0.209902689,,,
Spectral Data 436[nm],0.198148996,,,
Spectral Data 437[nm],0.184772849,,,
Spectral Data 438[nm],0.170202821,,,
Spectral Data 439[nm],0.154855579,,,
Spectral Data 440[nm],0.13914299,,,
Spectral Data 441[nm],0.123476893,,,
Spectral Data 442[nm],0.108251646,,,
Spectral Data 443[nm],0.093743697,,,
Spectral Data 444[nm],0.080190584,,,
Spectral Data 445[nm],0.067830071,,,
Spectral Data 446[nm],0.056884479,,,
Spectral Data 447[nm],0.047370315,,,
Spectral Data 448[nm],0.039157689,,,
Spectral Data 449[nm],0.032113571,,,
Spectral Data 450[nm],0.026105003,,,
Spectral Data 451[nm],0.021017836,,,
Spectral Data 452[nm],0.016764335,,,
Spectral Data 453[nm],0.013258015,,,
Spectral Data 454[nm],0.010412431,,,
Spectral Data 455[nm],0.008141988,,,
Spectral Data 456[nm],0.006362161,,,
Spectral Data 457[nm],0.004989055,,,
Spectral Data 458[nm],0.003938773,,,
Spectral Data 459[nm],0.003132334,,,
Spectral Data 460[nm],0.002520625,,,
Spectral Data 461[nm],0.002065373,,,
Spectral Data 462[nm],0.001728307,,,
Spectral Data 463[nm],0.001472098,,,
Spectral Data 464[nm],0.001272822,,,
Spectral Data 465[nm],0.001116616,,,
Spectral Data 466[nm],0.000989865,,,
Spectral Data 467[nm],0.000879055,,,
Spectral Data 468[nm],0.000775907,,,
Spectral Data 469[nm],0.00067971,,,
Spectral Data 470[nm],0.000590337,,,
Spectral Data 471[nm],0.000507661,,,
Spectral Data 472[nm],0.000431878,,,
Spectral Data 473[nm],0.000364058,,,
Spectral Data 474[nm],0.000305462,,,
Spectral Data 475[nm],0.000257347,,,
Spectral Data 476[nm],0.000220567,,,
Spectral Data 477[nm],0.000193416,,,
Spectral Data 478[nm],0.000173196,,,
Spectral Data 479[nm],0.000157204,,,
Spectral Data 480[nm],0.000142813,,,
Spectral Data 481[nm],0.000128474,,,
Spectral Data 482[nm],0.00011347,,,
Spectral Data 483[nm],9.71091E-05,,,
Spectral Data 484[nm],7.87075E-05,,,
Spectral Data 485[nm],5.81495E-05,,,
Spectral Data 486[nm],3.61812E-05,,,
Spectral Data 487[nm],1.36222E-05,,,
Spectral Data 488[nm],0,,,
Spectral Data 489[nm],0,,,
Spectral Data 490[nm],0,,,
Spectral Data 491[nm],0,,,
Spectral Data 492[nm],0,,,
Spectral Data 493[nm],0,,,
Spectral Data 494[nm],0,,,
Spectral Data 495[nm],0,,,
Spectral Data 496[nm],0,,,
Spectral Data 497[nm],0,,,
Spectral Data 498[nm],0,,,
Spectral Data 499[nm],0,,,
Spectral Data 500[nm],0,,,
Spectral Data 501[nm],0,,,
Spectral Data 502[nm],0,,,
Spectral Data 503[nm],0,,,
Spectral Data 504[nm],0,,,
Spectral Data 505[nm],0,,,
Spectral Data 506[nm],0,,,
Spectral Data 507[nm],0,,,
Spectral Data 508[nm],0,,,
Spectral Data 509[nm],0,,,
Spectral Data 510[nm],0,,,
Spectral Data 511[nm],0,,,
Spectral Data 512[nm],0,,,
Spectral Data 513[nm],0,,,
Spectral Data 514[nm],0,,,
Spectral Data 515[nm],0,,,
Spectral Data 516[nm],0,,,
Spectral Data 517[nm],0,,,
Spectral Data 518[nm],0,,,
Spectral Data 519[nm],0,,,
Spectral Data 520[nm],0,,,
Spectral Data 521[nm],0,,,
Spectral Data 522[nm],0,,,
Spectral Data 523[nm],0,,,
Spectral Data 524[nm],1.89057E-06,,,
Spectral Data 525[nm],1.89046E-06,,,
Spectral Data 526[nm],0,,,
Spectral Data 527[nm],0,,,
Spectral Data 528[nm],0,,,
Spectral Data 529[nm],0,,,
Spectral Data 530[nm],0,,,
Spectral Data 531[nm],0,,,
Spectral Data 532[nm],0,,,
Spectral Data 533[nm],0,,,
Spectral Data 534[nm],0,,,
Spectral Data 535[nm],0,,,
Spectral Data 536[nm],0,,,
Spectral Data 537[nm],0,,,
Spectral Data 538[nm],0,,,
Spectral Data 539[nm],0,,,
Spectral Data 540[nm],0,,,
Spectral Data 541[nm],0,,,
Spectral Data 542[nm],0,,,
Spectral Data 543[nm],0,,,
Spectral Data 544[nm],0,,,
Spectral Data 545[nm],0,,,
Spectral Data 546[nm],0,,,
Spectral Data 547[nm],0,,,
Spectral Data 548[nm],0,,,
Spectral Data 549[nm],0,,,
Spectral Data 550[nm],0,,,
Spectral Data 551[nm],0,,,
Spectral Data 552[nm],0,,,
Spectral Data 553[nm],0,,,
Spectral Data 554[nm],0,,,
Spectral Data 555[nm],0,,,
Spectral Data 556[nm],0,,,
Spectral Data 557[nm],0,,,
Spectral Data 558[nm],0,,,
Spectral Data 559[nm],0,,,
Spectral Data 560[nm],0,,,
Spectral Data 561[nm],0,,,
Spectral Data 562[nm],0,,,
Spectral Data 563[nm],0,,,
Spectral Data 564[nm],0,,,
Spectral Data 565[nm],0,,,
Spectral Data 566[nm],0,,,
Spectral Data 567[nm],0,,,
Spectral Data 568[nm],0,,,
Spectral Data 569[nm],0,,,
Spectral Data 570[nm],0,,,
Spectral Data 571[nm],0,,,
Spectral Data 572[nm],0,,,
Spectral Data 573[nm],0,,,
Spectral Data 574[nm],0,,,
Spectral Data 575[nm],0,,,
Spectral Data 576[nm],0,,,
Spectral Data 577[nm],0,,,
Spectral Data 578[nm],0,,,
Spectral Data 579[nm],0,,,
Spectral Data 580[nm],0,,,
Spectral Data 581[nm],0,,,
Spectral Data 582[nm],0,,,
Spectral Data 583[nm],0,,,
Spectral Data 584[nm],0,,,
Spectral Data 585[nm],0,,,
Spectral Data 586[nm],0,,,
Spectral Data 587[nm],0,,,
Spectral Data 588[nm],0,,,
Spectral Data 589[nm],0,,,
Spectral Data 590[nm],0,,,
Spectral Data 591[nm],0,,,
Spectral Data 592[nm],0,,,
Spectral Data 593[nm],0,,,
Spectral Data 594[nm],0,,,
Spectral Data 595[nm],0,,,
Spectral Data 596[nm],0,,,
Spectral Data 597[nm],0,,,
Spectral Data 598[nm],0,,,
Spectral Data 599[nm],0,,,
Spectral Data 600[nm],0,,,
Spectral Data 601[nm],0,,,
Spectral Data 602[nm],0,,,
Spectral Data 603[nm],0,,,
Spectral Data 604[nm],0,,,
Spectral Data 605[nm],0,,,
Spectral Data 606[nm],0,,,
Spectral Data 607[nm],0,,,
Spectral Data 608[nm],0,,,
Spectral Data 609[nm],0,,,
Spectral Data 610[nm],0,,,
Spectral Data 611[nm],0,,,
Spectral Data 612[nm],0,,,
Spectral Data 613[nm],0,,,
Spectral Data 614[nm],0,,,
Spectral Data 615[nm],0,,,
Spectral Data 616[nm],0,,,
Spectral Data 617[nm],0,,,
Spectral Data 618[nm],0,,,
Spectral Data 619[nm],0,,,
Spectral Data 620[nm],0,,,
Spectral Data 621[nm],0,,,
Spectral Data 622[nm],0,,,
Spectral Data 623[nm],0,,,
Spectral Data 624[nm],0,,,
Spectral Data 625[nm],0,,,
Spectral Data 626[nm],0,,,
Spectral Data 627[nm],0,,,
Spectral Data 628[nm],0,,,
Spectral Data 629[nm],0,,,
Spectral Data 630[nm],0,,,
Spectral Data 631[nm],0,,,
Spectral Data 632[nm],0,,,
Spectral Data 633[nm],0,,,
Spectral Data 634[nm],0,,,
Spectral Data 635[nm],0,,,
Spectral Data 636[nm],0,,,
Spectral Data 637[nm],0,,,
Spectral Data 638[nm],0,,,
Spectral Data 639[nm],0,,,
Spectral Data 640[nm],0,,,
Spectral Data 641[nm],0,,,
Spectral Data 642[nm],0,,,
Spectral Data 643[nm],0,,,
Spectral Data 644[nm],0,,,
Spectral Data 645[nm],0,,,
Spectral Data 646[nm],0,,,
Spectral Data 647[nm],0,,,
Spectral Data 648[nm],0,,,
Spectral Data 649[nm],0,,,
Spectral Data 650[nm],0,,,
Spectral Data 651[nm],0,,,
Spectral Data 652[nm],0,,,
Spectral Data 653[nm],0,,,
Spectral Data 654[nm],0,,,
Spectral Data 655[nm],0,,,
Spectral Data 656[nm],0,,,
Spectral Data 657[nm],0,,,
Spectral Data 658[nm],0,,,
Spectral Data 659[nm],0,,,
Spectral Data 660[nm],0,,,
Spectral Data 661[nm],0,,,
Spectral Data 662[nm],0,,,
Spectral Data 663[nm],0,,,
Spectral Data 664[nm],0,,,
Spectral Data 665[nm],0,,,
Spectral Data 666[nm],0,,,
Spectral Data 667[nm],0,,,
Spectral Data 668[nm],0,,,
Spectral Data 669[nm],0,,,
Spectral Data 670[nm],0,,,
Spectral Data 671[nm],0,,,
Spectral Data 672[nm],0,,,
Spectral Data 673[nm],0,,,
Spectral Data 674[nm],0,,,
Spectral Data 675[nm],0,,,
Spectral Data 676[nm],0,,,
Spectral Data 677[nm],0,,,
Spectral Data 678[nm],0,,,
Spectral Data 679[nm],0,,,
Spectral Data 680[nm],0,,,
Spectral Data 681[nm],0,,,
Spectral Data 682[nm],0,,,
Spectral Data 683[nm],0,,,
