Date Saved,14/05/2026 09:58,,,
Title,AS7341-cal_060_02°_3373K,,,
mixed office light,,,,
Measuring Mode,Ambient,,,
Viewing Angle [°],2,,,
Tcp [K],3373,,,
⊿uv,-0.0041,,,
Illuminance [lx],1140,,,
Illuminance [fc],105,,,
Peak Wavelength [nm],604,,,
Tristimulus Value X,1210.2281,,,
Tristimulus Value Y,1135.0376,,,
Tristimulus Value Z,620.93,,,
CIE1931 x,0.408,,,
CIE1931 y,0.3827,,,
CIE1931 z,0.2093,,,
CIE1976 u',0.2409,,,
CIE1976 v',0.5083,,,
Dominant Wavelength [nm],583,,,
Purity [%],37.3,,,
PPFD [umolm⁻²s⁻¹],18,,,
CRI Ra,89.5,,,
CRI R1,89.9,,,
CRI R2,96.6,,,
CRI R3,95.8,,,
CRI R4,87.6,,,
CRI R5,90.1,,,
CRI R6,94.1,,,
CRI R7,87.6,,,
CRI R8,74.6,,,
CRI R9,43.9,,,
CRI R10,91.2,,,
CRI R11,87.2,,,
CRI R12,79.9,,,
CRI R13,92,,,
CRI R14,98.5,,,
CRI R15,86.2,,,
TM-30 Rf,89,,,
TM-30 Rg,98,,,
SSIt,78,,,
SSId,63,,,
SSI1,---,,,
SSI2,---,,,
TLCI,87,,,
TLMF,---,,,
,,,,
Spectral Data 380[nm],0.000100724,,,
Spectral Data 385[nm],0.000163008,,,
Spectral Data 390[nm],0.000242844,,,
Spectral Data 395[nm],0.000442735,,,
Spectral Data 400[nm],0.000745642,,,
Spectral Data 405[nm],0.001000412,,,
Spectral Data 410[nm],0.001177227,,,
Spectral Data 415[nm],0.001355191,,,
Spectral Data 420[nm],0.001614251,,,
Spectral Data 425[nm],0.002030463,,,
Spectral Data 430[nm],0.00273767,,,
Spectral Data 435[nm],0.004093677,,,
Spectral Data 440[nm],0.006612643,,,
Spectral Data 445[nm],0.010265992,,,
Spectral Data 450[nm],0.013649405,,,
Spectral Data 455[nm],0.014695545,,,
Spectral Data 460[nm],0.013255155,,,
Spectral Data 465[nm],0.011110359,,,
Spectral Data 470[nm],0.009377378,,,
Spectral Data 475[nm],0.008127484,,,
Spectral Data 480[nm],0.007430129,,,
Spectral Data 485[nm],0.007291359,,,
Spectral Data 490[nm],0.007655607,,,
Spectral Data 495[nm],0.008328124,,,
Spectral Data 500[nm],0.009072224,,,
Spectral Data 505[nm],0.009797696,,,
Spectral Data 510[nm],0.010457428,,,
Spectral Data 515[nm],0.01101423,,,
Spectral Data 520[nm],0.011523338,,,
Spectral Data 525[nm],0.012045257,,,
Spectral Data 530[nm],0.012555657,,,
Spectral Data 535[nm],0.013079372,,,
Spectral Data 540[nm],0.013582556,,,
Spectral Data 545[nm],0.014069868,,,
Spectral Data 550[nm],0.014589877,,,
Spectral Data 555[nm],0.015171477,,,
Spectral Data 560[nm],0.015830169,,,
Spectral Data 565[nm],0.016526625,,,
Spectral Data 570[nm],0.017240381,,,
Spectral Data 575[nm],0.018036298,,,
Spectral Data 580[nm],0.018863756,,,
Spectral Data 585[nm],0.019624241,,,
Spectral Data 590[nm],0.020268761,,,
Spectral Data 595[nm],0.020767344,,,
Spectral Data 600[nm],0.021079697,,,
Spectral Data 605[nm],0.021167694,,,
Spectral Data 610[nm],0.021053914,,,
Spectral Data 615[nm],0.020750189,,,
Spectral Data 620[nm],0.020194208,,,
Spectral Data 625[nm],0.019381043,,,
Spectral Data 630[nm],0.018497761,,,
Spectral Data 635[nm],0.017663557,,,
Spectral Data 640[nm],0.01680563,,,
Spectral Data 645[nm],0.015875561,,,
Spectral Data 650[nm],0.014962781,,,
Spectral Data 655[nm],0.014184979,,,
Spectral Data 660[nm],0.013565934,,,
Spectral Data 665[nm],0.013051308,,,
Spectral Data 670[nm],0.012567119,,,
Spectral Data 675[nm],0.01205174,,,
Spectral Data 680[nm],0.011356199,,,
Spectral Data 685[nm],0.010565954,,,
Spectral Data 690[nm],0.010069522,,,
Spectral Data 695[nm],0.009886217,,,
Spectral Data 700[nm],0.009739749,,,
Spectral Data 705[nm],0.00955319,,,
Spectral Data 710[nm],0.009227615,,,
Spectral Data 715[nm],0.008689644,,,
Spectral Data 720[nm],0.008178888,,,
Spectral Data 725[nm],0.008024998,,,
Spectral Data 730[nm],0.00820645,,,
Spectral Data 735[nm],0.00838036,,,
Spectral Data 740[nm],0.008452152,,,
Spectral Data 745[nm],0.008406209,,,
Spectral Data 750[nm],0.007931431,,,
Spectral Data 755[nm],0.006953729,,,
Spectral Data 760[nm],0.005947431,,,
Spectral Data 765[nm],0.005810222,,,
Spectral Data 770[nm],0.006654742,,,
Spectral Data 775[nm],0.00725936,,,
Spectral Data 780[nm],0.007451341,,,
,,,,
Spectral Data 380[nm],7.38918E-05,,,
Spectral Data 381[nm],9.88911E-05,,,
Spectral Data 382[nm],0.000120069,,,
Spectral Data 383[nm],0.000137901,,,
Spectral Data 384[nm],0.000152931,,,
Spectral Data 385[nm],0.00016572,,,
Spectral Data 386[nm],0.000176828,,,
Spectral Data 387[nm],0.000186941,,,
Spectral Data 388[nm],0.000197726,,,
Spectral Data 389[nm],0.000211315,,,
Spectral Data 390[nm],0.000229845,,,
