Date Saved,04/06/2026 15:50:56
Title,AS7341-calRE2_030_02°_4350K
CoolLED_nm,580
CoolLED_strength,100

Measuring Mode,Ambient
Viewing Angle [°],2
Tcp [K],4350
⊿uv,0.0641
Illuminance [lx],11400
Illuminance [fc],1060
Peak Wavelength [nm],555
Tristimulus Value X,8097.4657
Tristimulus Value Y,11437.3193
Tristimulus Value Z,265.6077
CIE1931 x,0.4090
CIE1931 y,0.5776
CIE1931 z,0.0134
CIE1976 u',0.1795
CIE1976 v',0.5704
Dominant Wavelength [nm],565
Purity [%],96.4
PPFD [umolm⁻²s⁻¹],92.9
CRI Ra,4.5
CRI R1,7.4
CRI R2,27.7
CRI R3,10.4
CRI R4,-24.8
CRI R5,12.7
CRI R6,18.3
CRI R7,16.9
CRI R8,-32.8
CRI R9,-100.0
CRI R10,-52.8
CRI R11,-53.2
CRI R12,-20.3
CRI R13,12.9
CRI R14,52.3
CRI R15,-20.0
TM-30 Rf,12
TM-30 Rg,14
SSIt,3
SSId,Under
SSI1,---
SSI2,---
TLCI,2
TLMF,---

Spectral Data 380[nm],0.000000000000
Spectral Data 385[nm],0.000000000000
Spectral Data 390[nm],0.000000000000
Spectral Data 395[nm],0.000000000000
Spectral Data 400[nm],0.000000000000
Spectral Data 405[nm],0.000000000000
Spectral Data 410[nm],0.000000000000
Spectral Data 415[nm],0.000000000000
Spectral Data 420[nm],0.000000000000
Spectral Data 425[nm],0.000000000000
Spectral Data 430[nm],0.000000000000
Spectral Data 435[nm],0.000039438852
Spectral Data 440[nm],0.000445329060
Spectral Data 445[nm],0.000796286273
Spectral Data 450[nm],0.000914367789
Spectral Data 455[nm],0.000903778302
Spectral Data 460[nm],0.000782520801
Spectral Data 465[nm],0.000698173186
Spectral Data 470[nm],0.000672562514
Spectral Data 475[nm],0.000488259131
Spectral Data 480[nm],0.000307758892
Spectral Data 485[nm],0.000429257285
Spectral Data 490[nm],0.000734457222
Spectral Data 495[nm],0.001338680275
Spectral Data 500[nm],0.003485703841
Spectral Data 505[nm],0.011494060047
Spectral Data 510[nm],0.033630169928
Spectral Data 515[nm],0.075012050569
Spectral Data 520[nm],0.128214746714
Spectral Data 525[nm],0.175477176905
Spectral Data 530[nm],0.204162895679
Spectral Data 535[nm],0.218300834298
Spectral Data 540[nm],0.226695507765
Spectral Data 545[nm],0.233787626028
Spectral Data 550[nm],0.239470779896
Spectral Data 555[nm],0.241794884205
Spectral Data 560[nm],0.240392312407
Spectral Data 565[nm],0.236424326897
Spectral Data 570[nm],0.230748996139
Spectral Data 575[nm],0.223634779453
Spectral Data 580[nm],0.214185059071
Spectral Data 585[nm],0.203153893352
Spectral Data 590[nm],0.191912636161
Spectral Data 595[nm],0.176913246512
Spectral Data 600[nm],0.151636421680
Spectral Data 605[nm],0.115947507322
Spectral Data 610[nm],0.076871573925
Spectral Data 615[nm],0.043072767556
Spectral Data 620[nm],0.020533261821
Spectral Data 625[nm],0.009477789514
Spectral Data 630[nm],0.005192523357
Spectral Data 635[nm],0.003212723183
Spectral Data 640[nm],0.002162487712
Spectral Data 645[nm],0.001709240489
Spectral Data 650[nm],0.001458521583
Spectral Data 655[nm],0.001392072067
Spectral Data 660[nm],0.001639058930
Spectral Data 665[nm],0.001354718814
Spectral Data 670[nm],0.001018719282
Spectral Data 675[nm],0.000202996016
Spectral Data 680[nm],0.000000000000
Spectral Data 685[nm],0.000000000000
Spectral Data 690[nm],0.000000000000
Spectral Data 695[nm],0.000000000000
Spectral Data 700[nm],0.000000000000
Spectral Data 705[nm],0.000000000000
Spectral Data 710[nm],0.000000000000
Spectral Data 715[nm],0.000000000000
Spectral Data 720[nm],0.000000000000
Spectral Data 725[nm],0.000000000000
Spectral Data 730[nm],0.000000000000
Spectral Data 735[nm],0.000000000000
Spectral Data 740[nm],0.000000000000
Spectral Data 745[nm],0.000000000000
Spectral Data 750[nm],0.000000000000
Spectral Data 755[nm],0.000000000000
Spectral Data 760[nm],0.000000000000
Spectral Data 765[nm],0.000000000000
